豝,pa,,
犮,phat,,
拔,phat,,
拔巴甲,phpk,,
拔摩,phatmo,,
拔示芭,phsp,,
茇,phat,,
胈,phat,,
菝,phat,,
軷,phat,,
跋,pak,,
跋,phat,,
跋上,paksog,,
跋上,paksong,,
魃,phat,,
鼥,phat,,
把,pa,,
把柄,papiag,,
把柄,papiang,,
把扼,paak,,
把守,pasu,,
把戲,pahi,,
靶,pa,,
弝,pa,,
爸,pa,,
罷,pha,,
罷特,pathit,,
霸,pa,,
霸道,patho,,
霸權,pakhie,,
霸王,pavog,,
霸王,pavong,,
霸佔,patsam,,
霸佔,pazam,,
壩,pa,,
灞,pa,,
吧,pa,,
掰,pai,,
白,phak,,
白白,phakph,,
白包,phakpa,,
白到,phakto,,
白掉,phakth,,
白鴿,phakka,,
白工,phakku,,
白鸛仔,phke,,
白鶴,phakho,,
白鶴仔,pe,,
白鶴仔,phhe,,
白話字,phfs,,
白灰,phakfo,,
白淨,phakci,,
白淨,phaktshi,,
白露,phaklu,,
白露,phetlu,,
白驢,phakli,,
白馬,phakma,,
白瑪瑙,phmn,,
白毛,phakmo,,
白泡,phakph,,
白日,phakgi,,
白日,phakngi,,
白色,phakse,,
白衫,phaksa,,
